denominacion,descripcion,actualizacion,fecha,jurisdiccion,nombre_tarjeta_home
Refinerías,Ubicación geográfica de refinerías,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Volúmenes transportados de derivados.,"Volumenes transportados de DDJJ por cargador y por producto (crudo, gasoil, GLP, nafta)",Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
"Gasoductos, JP Ductos, Oleoductos, Poliductos y Propanoductos troncales.",Trazas de ductos,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Instalaciones de hidrocarburos,Instalaciones de transporte de hidrocarburos georreferenciadas,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Puertos regasificadores,Ubicación geográfica de puertos regasificadores de GNL,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
"Capacidad de Transporte Contratada en Firme, por Cargador",,Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Consumo en Combustible, Pérdidas y Gas natural no Contabilizado",Consumo de gas natural para su transporte.,Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Flujo Promedio Entregado vs. Capacidad Nominal de Transporte, por Gasoducto",,Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Gas natural cargado por cuenca,"Gas natural Cargado en el Ingreso al Sistema de Transporte, por Cuenca",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Gas natural Cargado por Gasoducto y entregado por transportistas,"Gas natural Cargado en el Ingreso al Sistema de Transporte, por Gasoducto",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Gas natural importado y Exportado,Gas natural exportado por destino.,Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Gas natural Recibido de Productores,"Gas natural Recibido de Productores, por Cuenca",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Balanza comercial minera,Balanza comercial de sustancias minerales y productos derivados totales,Anual,1º semestre de 2017,Energía y Minería,Energía y Minería
Comercio exterior minero por rubro,Importaciones y exportaciones de sustancias minerales y productos derivados por rubro de producción minera.,Anual,2º semestre de 2016,Energía y Minería,Energía y Minería
Exportaciones mineras por provincia,Exportaciones de sustancias minerales y productos derivados por provincia. ,Anual,2º semestre de 2016,Energía y Minería,Energía y Minería
Participación de las exportaciones mineras en el total nacional,Participación de importaciones de sustancias minerales y productos derivados por rubro de producción minera.,Anual,2º semestre de 2016,Energía y Minería,Energía y Minería
Productos mineros exportados,Exportación de sustancias minerales y productos derivados. Principales productos por rubros (en U$S FOB).,Anual,2º semestre de 2016,Energía y Minería,Energía y Minería
Informes del Jefe de Gabinete al Congreso de la Nación,"Estadística del intercambio en los informes mensuales del Jefe de Gabinete de Ministros de la Nación al Congreso. Cantidad de preguntas, Ministerios que responden, duración de la sesión, porcentajes de preguntas respondidas (total y por jurisdicción), legisladores y bloques intervinientes. Adicional: datos de los pedidos de informes individuales que los legisladores realizan al Poder Ejecutivo.",Mensual,2º semestre de 2016,Jefatura de Gabinete,JGM
Catálogo BACUA,"Catálogo del Banco Audiovisual de Contenidos Uiversales Argentinos. Disponible para consulta por categoria, codigo, productor, director, guinista y sinopsis",Eventual,1º semestre de 2017,Jefatura de Gabinete,JGM
Inmuebles del Estado Nacional,Datos correspondientes a los Inmuebles de Propiedad del Estado Nacional,Semestral,1º semestre de 2017,Jefatura de Gabinete,JGM
Cesiones de uso y alquileres de inmuebles del Estado Nacional,"Concesiones y cesiones de uso de inmuebles del Estado Nacional a organismos, ONG y privados.",Semestral,1º semestre de 2017,Jefatura de Gabinete,JGM
Cesiones de uso y alquileres de inmuebles al Estado Nacional,Los distintos organismos del Estado Nacional alquilan y reciben cesiones de uso de diversos inmuebles.,Semestral,1º semestre de 2017,Jefatura de Gabinete,JGM
Base de datos legislativos Infoleg,"Base de documentos digitales legislativos: leyes, decisiones administrativas, decretos, resoluciones, disposiciones, acordadadas y todo acto administrativo publicado en la primera sección del Boletín Oficial de la República Argentina desde mayo 1997 más la normativa referenciada.",Mensual,2º semestre de 2016,Justicia,Justicia
Centros de Acceso a la Justicia -CAJ-,Información correspondiente a los Centros de Acceso a la Justicia.,Trimestral,2º semestre de 2016,Justicia,Justicia
Sistema Nacional de Estadísticas de Ejecución de la Pena - SNEEP,"Datos sobre población Carcelaria en todo el País, incluyendo Servicio Penitenciario Federal y Servicios Penitenciarios Provinciales",Anual,2º semestre de 2016,Justicia,Justicia
Declaración Jurada Patrimonial Integral de carácter público,"Datos correspondiente a las Declaraciones Juradas Patrimoniales Integrales presentadas por los sujetos obligados conforme lo normado en la Ley de Ética Pública 25.188 modificada por la Ley 26.857, reglamentada por el Decreto Nro. 895/2013 y la Resolución General AFIP Nro. 3511/2013 y Resolución M.J. y D.H. Nro. 1695/2013.",Trimestral,2º semestre de 2016,Justicia,Justicia
Entidades constituidas en la Inspección General de Justicia,Datos de las entidades constituidas en la Inspección General de Justicia,Mensual,2º semestre de 2016,Justicia,Justicia
Registro Nacional de Información de Personas Menores Extraviadas,"Datos sobre personas menores de edad de quienes se desconoce el paradero, así como de aquellos que se encuentran en establecimientos de atención, resguardo, detención o internación en todos los casos en que se desconocen sus datos filiatorios o identificatorios y de aquellos menores que fueran localizados, siempre que se cuente con la debida autorización judicial o la de sus progenitores.",Diaria,1º semestre de 2017,Justicia,Justicia
"Unidad de Registro, Sistematizaciòn y Seguimiento de Hechos de Violencia Institucional","El registro analiza las formas de expresión de la violencia institucional sobre la base de las presentaciones, denuncias e informaciones recibidas en el ámbito de la Secretaría de Derechos Humanos. Este objetivo general se concretiza al identificar, describir y analizar los hechos y/o situaciones que involucren violaciones a los derechos humanos por parte de funcionarios/as pertenecientes a las fuerzas de seguridad, fuerzas armadas, personal penitenciario y efectores de salud en contextos de restricción de libertad y/o autonomía.",Trimestral,2º semestre de 2016,Justicia,Justicia
"Base de datos de la Unidad de Registro, Sistematización y Seguimiento de Femicidios y Homicidios Agravados por el Género.","Esta base registra los femicidios y homicidios agravados por el género desde el año 2012 a la fecha. Se nutre de diversas fuentes: articulos de prensa escrita, denuncias policiales y judiciales, denuncias realizadas ante la Secretaría de Derechos Humanos.",Trimestral,2º semestre de 2016,Justicia,Justicia
Registro Unificado de VÍctimas del Terrorismo de Estado,"El objetivo del Registro es la construcción de una matriz de datos de alcance nacional en permanente estado de actualización sobre las víctimas del accionar represivo ilegal del Estado argentino y, en cumplimiento de lo dispuesto por la Ley 26.691, de los centros clandestinos de detención y otros lugares de reclusión utilizados por la fuerza represiva estatal, entre otras tareas de investigación.",Eventual,2º semestre de 2016,Justicia,Justicia
Solicitudes de Autorización de Tenencia de Armas de Fuego,"Listado de Solicitudes de Autorización de Tenencia de Armas de Fuego comprendidas en el ""Procedimiento de Participación Ciudadana por Oposición para la Autorización de Tenencia o Portación de Armas de Fuego"".
Las solicitudes permanecen publicadas hasta las 00:00 horas del día siguiente al vencimiento de la publicación.
Resolución MJyDDHH Nº 373/2013",Mensual,2º semestre de 2016,Justicia,Justicia
Solicitudes de Autorización de Portación de Armas de Fuego,"Listado de Solicitudes de Autorización de Portación de Armas de Fuego comprendidas en el ""Procedimiento de Participación Ciudadana por Oposición para la Autorización de Tenencia o Portación de Armas de Fuego"".
Las solicitudes permanecen publicadas hasta las 00:00 horas del día siguiente al vencimiento de la publicación.
Resolución MJyDDHH Nº 373/2013",Mensual,2º semestre de 2016,Justicia,Justicia
Sistema de Consulta Nacional de Rebeldías y Capturas (base Co.Na.R.C.).,"La base Co.Na.R.C., creada a partir de la sanción del decreto 346/2009, se conforma con las comunicaciones que los tribunales realizan al Registro Nacional de Reincidencia de toda medida restrictiva a la libertad ambulatoria que se dicta en el marco de una causa penal, en cualquier jurisdicción del país (ámbito federal, nacional, provincial y de la CABA).  La base sólo refleja las órdenes de detención vigentes. ",Mensual,2º semestre de 2016,Justicia,Justicia
Internos del SPF ,Procesados y condenados alojados en unidades del Servicio Penitenciario Federal (anonimizados los campos que correspondan).,Mensual,2º semestre de 2016,Justicia,Justicia
"Mapa de Conectividad de Redes de la
República Argentina","Mapa de redes de telecomunicaciones mostrando la oferta de servicios fijos, moviles y de conectividad de banda ancha, Backbones de fibra optica y los puntos de interconexión en cada localidad o departamento del país.",Trimestral,1º semestre de 2017,Comunicaciones,Comunicaciones
Registro de Autorizaciones Satelitales,Listado de autorizaciones satelitales,Trimestral,1º semestre de 2017,Comunicaciones,Comunicaciones
"Registro de Proveedores Postales y
Servicios de Mensajería",Listado de prestadores postales y servicios de mensajería autorizados a dar servicios postales en la Republica Argentina,Semanal,2º semestre de 2016,Comunicaciones,Comunicaciones
Listado de prestadores de telefonía,"Listado de prestadores de telefonía fija, móvil y de larga distancia autorizados a dar servicio",Semanal,2º semestre de 2016,Comunicaciones,Comunicaciones
Estadísticas sobre Negociación Colectiva y Conflictividad Laboral,Conjunto de indicadores que reflejan la situación y la evolución de la negociación colectiva y la conflictividad laboral.,Mensual,2º semestre de 2016,Trabajo,Trabajo
Boletín de estadísticas sobre demografía de empresas y empleo,"Contiene información sobre la demografía de las empresas (aperturas, cierres, continuadoras) y la dinámica del empleo, sobre empresas de rápido crecimiento y supervivencia de las firmas.",Trimestral,2º semestre de 2016,Trabajo,Trabajo
Datos sobre el total de trabajadores registrados,"Describe la situación y evolución del total de trabajadores registrados (asalariados, trabajadores en casas particulares, autónomos y monotributistas)",Mensual,2º semestre de 2016,Trabajo,Trabajo
Datos resultantes del  Plan Nacional de Regularización del Trabajo (PNRT),"Describe: (i) cantidad de inspecciones realizadas, (ii) cantidad de trabajadores relevados, (iii) tasa de no registro y (iv) tasa de regularización.",Semestral,2º semestre de 2016,Trabajo,Trabajo
Boletín de estadísticas de Seguridad Social,"Conjunto de estadísticas de las distintas ramas de la seguridad social: jubilaciones y pensiones, asignaciones familiares, seguro por desempleo y riesgos del trabajo. ",Trimestral,2º semestre de 2016,Trabajo,Trabajo
PBI cultural,Valor agregado de las actividades culturales ,Anual,2º semestre de 2016,Cultura,Cultura
Empleo cultural,Cantidad de personas empleadas en actividades culturales privadas y en el sector público,Anual,2º semestre de 2016,Cultura,Cultura
Presupuesto publico en cultura a nivel nacional,"Presupuesto ejecutado por el ministerio de cultura y sus organismos descentralizados, así como otros organismos y programas que realizan actividades culturales",Anual,2º semestre de 2016,Cultura,Cultura
Espacios culturales,"Listado nacional de museos, bibliotecas especializadas, bibliotecas populares, fiestas populares y festivales, librerías, salas de teatro, salas de cine, casas del bicentenario, carreras culturales y puntos de cultura",Anual,2º semestre de 2016,Cultura,Cultura
Agentes culturales,"Listado nacional de sellos musicales, editoriales de libros, canales de tv abierta, diarios impresos y radios",Anual,2º semestre de 2016,Cultura,Cultura
Estadísticas Vitales (Serie 5 - DEIS),"Información sobre nacidos vivos, matrimonios, defunciones y defunciones fetales para el total del país y por jurisdicción, incluyendo
tasas y distribuciones relativas. ",Anual,1º semestre de 2017,Salud,Salud
Estadísticas de Consultas e Internación en Establecimientos Públicos (Serie 11 - DEIS),Egresos y consultas hospitalarias registradas en el Informe Estadístico de Internación en Establecimientos Públicos,Anual,1º semestre de 2017,Salud,Salud
Registro Federal de Establecimientos de Salud (REFES),"Registro de establecimientos sanitarios del país del sector público y privado, con y sin internación, que se encuentran funcionando en cada una de las jurisdicciones provinciales según la reglamentación vigente en ellas.",Eventual,1º semestre de 2017,Salud,Salud
Registro Federal de Profesionales de Salud (REFEPS),Registro oficial de Profesionales de Salud de todo el país de todas las profesiones matriculadas para el ejercicio profesional en salud,Eventual,1º semestre de 2017,Salud,Salud
Registro Nacional de Investigaciones en Salud (RENIS),Registro oficial y federal de investigaciones en Salud,Eventual,1º semestre de 2017,Salud,Salud
Registro Federal Farmacias (REFAR) y Registro Federal de Droguerías (REDRO),"Registro oficial de farmacias de atención al público, hospitalarias y droguerías de todo el país registrado por la autoridad jurisdiccional",Eventual,1º semestre de 2017,Salud,Salud
Legislacion en Salud de la República Argentina (LEGISALUD),"Registro de la legislación sanitaria intenacional,nacional, provincial y municipal vinculadas a todas las temáticas sanitarias agrupadas por tipo de legilsación, jurisdicción y por temática a texto completo",Eventual,1º semestre de 2017,Salud,Salud
Estadísticas CUS MEDICAMENTOS,"Serie histórica (sin nominalizar) de personas que recibieron medicamentos bajo prescripción del programa CUS MEDICAMENTOS por edad, sexo y provincia",Mensual,1º semestre de 2017,Salud,Salud
Recetas CUS  MEDICAMENTOS,Serie histórica de medicamentos recetados a través del programa CUS MEDICAMENTOS por provincia,Mensual,1º semestre de 2017,Salud,Salud
Consultas CUS MEDICAMENTOS,Serie histórica de consultas con médicos u odontólogos en CAPs que reciben botiquines CUS MEDICAMENTOS,Mensual,1º semestre de 2017,Salud,Salud
Estadísticas Inlcuir Salud,"Distribución por provincia y por ley de otorgamiento de beneficiarios, prestaciones otorgadas, monto de transferencias",Anual,1º semestre de 2017,Salud,Salud
Estadísticas Nacionales de VIH/Sida,"Estadísticas que surgen de las notificaciones nacionales de infecciones por VIH/Sida desglosadas por provincias. Incluye indicadores de gestión en prevención, diagnóstico y tratamiento ",Anual,1º semestre de 2017,Salud,Salud
Estadísticas SUMAR,"Estadísticas de distribución de beneficiarios, transferencias y prestaciones",Trimestral,1º semestre de 2017,Salud,Salud
Boletín Integrado de Vigilancia,"Casos registrados de eventos bajo vigilancia (incluye Chagas, Dengue, Zika, infecciones respiratorias agudas)",Trimestral,1º semestre de 2017,Salud,Salud
Municipios - Agenda Presidencial,Municipios que visita el Presidente en actos de Gobierno,Mensual,2º semestre de 2016,Secretaría General,Presidencia
Dominios de Internet,Descripción de los datos típicos de los dominios de internet en formato según RFC 7482,Semanal,2º semestre de 2016,Secretaría Legal y Técnica,Presidencia
Normativa,"Boletín Oficial de la República Argentina. Publicación de la normativa, avisos comerciales y judiciales.",Semanal,2º semestre de 2016,Secretaría Legal y Técnica,Presidencia
Base de Instrumentos para el Desarrollo Productivo (BIDP),"Registo de subsidios e incentivos que brinda el Estado Nacional para fines productivos a través de sus organismos (excluye programas sociales). Incluye un Padrón de Políticas, con la descripción de cada política de apoyo productivo, y un Padrón de Beneficiarios, con información de los beneficios percibidos por las empresas beneficiarias de los programas.",Mensual,2º semestre de 2016,Producción,Producción
"Banco de Proyectos de
Inversión Pública","Registro de los proyectos de inversión de todos los organismos del Sector
Publico Nacional. Creado por ley 24,354 del año 1994. Todos los organismos del SPN tienen obligación de registrar sus proyectos en este Banco, lo hacen en forma directa a través de un aplicativo que se conecta con el Servidor administrado por la Dirección Nacional de Inversión Pública, y próximamente en un nuevo sistema informático en entorno Web. Los principales campos de cada proyecto se publican en Internet en la Web del Ministerio.",Diaria,2º semestre de 2016,Producción,Producción
Registro Industrial de la Nacion,El Registro Industrial de la Nación (RIN) tiene un rol fundamental en la recopilación de información cuantitativa y cualitativa sobre las industrias que desarrollan actividades en el Territorio Nacional.,Anual,1º semestre de 2017,Producción,Producción
"Registro de Armas
Quimicas","El registro incluye las personas físicas y jurídicas que produzcan, comercialicen, importen o exporten sustancias químicas listadas por la Convención o sustancias químicas",Anual,1º semestre de 2017,Producción,Producción
"Registro de Expertos
Pymes","Base de datos en el marco del programa ""Expertos Pymes"" cuyo objetivo es brindar a las empresas la posibilidad de contratar expertos en asesoramiento técnico y organizacional.",Anual,1º semestre de 2017,Producción,Producción
"Registro de
Incubadoras","Registro de personas jurídicas (mixtas, públicas o privadas) o entidades que ofrecen servicios de incubación de empresas.",Anual,1º semestre de 2017,Producción,Producción
Registro Pyme,"Registro de micro, pequeñas y medianas empresas",Eventual,1º semestre de 2017,Producción,Producción
"Ciudades para
Emprender","Registro de Ciudades para Emprender, cuyo objetivo es impulsar la creación de nuevas empresas atendiendo a la vocación territorial y a la planificación económica estratégica y la generación de capacidades emprendedoras locales.",Anual,1º semestre de 2017,Producción,Producción
"Registro de
Aceleradoras","Incluye información sobre aceleradoras que permitan el financiamiento y desarrollo de empresas innovadoras, de alto impacto y con mercados globales",Anual,1º semestre de 2017,Producción,Producción
Registro del Programa Desarrollo de Proveedores,Registro de Proveedores para sectores estrategicos,Anual,1º semestre de 2017,Producción,Producción
"Registro de fabricantes e importadores de vehículos, fabricantes e importadores de autopartes",Registro del sector automotriz,Anual,1º semestre de 2017,Producción,Producción
"Fabricantes e importadores de bicicletas, registro de fabricantes e importadores de cámaras y cubiertas.",proveedores e importadores de bicicletas,Anual,1º semestre de 2017,Producción,Producción
Registro Nacional de laboratorios de ensayos de autopartes y vehículos completos.,Registro del sector automotriz,Anual,1º semestre de 2017,Producción,Producción
"Registro de Bienes de
Capital",Registro de las empresas que fabrican bienes de capital,Anual,2º semestre de 2017,Producción,Producción
Registro Nacional de Productores de Software y Servicios Informáticos.,"Registro correspondiente al Régimen de Promoción de la Industria del Software (Ley 25.922), que prevé beneficios para la industria del software y servicios informáticos.",Anual,2º semestre de 2017,Producción,Producción
"Plan Nacional de
Diseño","Registro abierto de agencias, diseñadores y empresas que participan del programa",Anual,1º semestre de 2017,Producción,Producción
COPREC,Registro de los reclamos del ciudadano en materia de defensa del consumidor como así también consultas respecto a los programas de precios de gobierno.,Anual,2º semestre de 2017,Producción,Producción
Tribunal arbitral,Registro de árbitros de consumidores y de cámaras empresariales.,Anual,2º semestre de 2017,Producción,Producción
Asociaciones de consumidores,Registro nacional de asociaciones de consumidores,Anual,2º semestre de 2017,Producción,Producción
"Registro Nacional de
Infractores","Registro según art. 49 del Anexo I al Decreto N 1798/94 reglamentario de la
Ley 24.240",Anual,2º semestre de 2017,Producción,Producción
Metrología,Registro de operadores en materia de metrología legal.,Anual,2º semestre de 2017,Producción,Producción
Estadistica Educativa,"Desagregadas por modalidad, oferta educativa, nivel educativo y sector de gestion segun departamento",Semestral,1º semestre de 2017,Educación,Educación
Indicadores Educativos,"Información sobre Tasa de Promoción Efectiva, Tasa de Repitencia, Tasa de Abandono Interanual, Porcentaje de Sobreedad, Tasa de Escolarización",Semestral,1º semestre de 2017,Educación,Educación
Registro de Establecimientos Educativos,Padrón Oficial de Establecimientos Educativos,Eventual,1º semestre de 2017,Educación,Educación
Empresas de transporte RMBA,"Detalle de empresas de transporte que operan en la Juridicción Nacional, Provincial o Municipal",Trimestral,2º semestre de 2016,Transporte,Transporte
Líneas de transporte RMBA,"Detalle de líneas de transporte que operan en la Juridicción Nacional, Provincial o Municipal",Trimestral,2º semestre de 2016,Transporte,Transporte
Cancelaciones por año RMBA,"Histórico de operaciones de viajes por año: 
A) Cantidad y detalle por modo.
B) Cantidad y detalle por empresa. C) Cantidad y detalle de linea.
D) Cantidad y detalle de linea y tipo de pasaje (normal - atributo social)",Anual,1º semestre de 2017,Transporte,Transporte
Cancelaciones mes RMBA,"Histórico de operaciones de viajes por mes:
A) Cantidad y detalle por modo.
B) Cantidad y detalle por empresa. C) Cantidad y detalle de linea.
D) Cantidad y detalle de linea y tipo de pasaje (normal - atributo social)",Trimestral,2º semestre de 2016,Transporte,Transporte
Informes estadísticos y Protocolos.,Confección de estadísticas en base a la información recolectada por distintas fuentes como así también confección de protocolos para su posterior utilización por las fuerzas.,Eventual,1º semestre de 2017,Seguridad,Seguridad
DNFyC (Marte)/BECAS,"Contempla normativa de todos los programas de becas, los registros de todos los becarios, rendición de cuenta de las universidades, notas firmadas por el Director Nacional",Eventual,1º semestre de 2017,Seguridad,Seguridad
Sistema Nacional de Información Criminal (Total de hechos delictuosos y SAT Propiedad),Información a nivel nacional y provincial sobre presuntos hechos delictuosos registrados en sede policial (mesodatos).,Anual,1º semestre de 2017,Seguridad,Seguridad
"Sistema Nacional de Información Criminal (Sistema de Alerta Temprana -SAT- de homicidios dolosos consumados y en grado de tentativa, homicidios culposos en accidentes de tránsito consumados y suicidios consumados).",Información a nivel nacional y provincial sobre presuntos hechos delictuosos registrados en sede policial (microdatos).,Anual,1º semestre de 2017,Seguridad,Seguridad
Observatorio Legislativo de Seguridad Ciudadana,Página web que tiene como objetivo erigirse como una herramienta de consulta para todos aquellos interesados en la normativa vinculada a la seguridad.,Eventual,1º semestre de 2017,Seguridad,Seguridad
Asignación Salarial de las Autoridades Superiores del Poder Ejecutivo Nacional,Asignación salarial mensual (bruta)* de las Autoridades Superiores del Poder Ejecutivo Nacional.,Mensual,2º semestre de 2016,Modernización,Modernización
Estructura Orgánica y Autoridades del Poder Ejecutivo Nacional,"Estructura y autoridades de la Administración Centralizada del Estado Nacional, tomando como fuente de información el Boletín Oficial y los respectivos Decretos de designación de cargos en la Administración Pública Nacional.",Eventual,2º semestre de 2016,Modernización,Modernización
Sistema de Contrataciones Electrónicas,"Datos correspondiente al Sistema de Contrataciones Electrónicas, incluyendo las contrataciones de bienes y servicios, el Sistema de Información de Proveedores (SIPRO) y el Catálogo de Bienes y Servicios (SIByS)",Eventual,2º semestre de 2016,Modernización,Modernización
Registro Central de Personas Contratadas,"Nómina del personal contratado por el Poder Ejecutivo Nacional correspondiente a la Administración Central y Descentralizada, detallando información sobre el personal contratado, la modalidad del contrato, así como la jurisdicción y organismo contratante.",Trimestral,2º semestre de 2016,Modernización,Modernización
Catálogo de trámites y servicios,Inventario de trámites y servicios disponibles a través de Argentina.gob.ar,Eventual,2º semestre de 2016,Modernización,Modernización
Oferta del Sistema Nacional de Capacitación,"Cursos, becas, y actividades promovidas y organizadas por el Instituto Nacional de la Administración Pública (INAP) en el marco del Sistema Nacional de Capacitación.",Eventual,2º semestre de 2016,Modernización,Modernización
Registro de Prestadores del Sistema Nacional de Capacitación,Listado de prestadores inscriptos al Sistema Nacional de Capacitación,Eventual,2º semestre de 2016,Modernización,Modernización
Plan de Apertura de Datos,"Nómina de la totalidad de los Planes de Apertura de Datos de los Ministerios, Secretarías, y Organismos descentralizados y desconcentrados del Poder Ejecutivo Nacional, que han sido presentados como compromiso por parte de dichas jurisdicciones.",Anual,2º semestre de 2016,Modernización,Modernización
Programa Nacional de Infraestructura Turística,Listado de obras turísticas realizadas en el marco del PNIT,Eventual,2º semestre de 2016,Turismo,Turismo
Consulta de Agencias de Viajes Autorizadas,"Listado de todas las Agencias de Turismo autorizadas en el país, incluyendo: Turismo Estudiantil, Turismo Receptivo y Turismo Receptivo Chino.",Semanal,1º semestre de 2017,Turismo,Turismo
Distinguidos de Calidad,Listado de Organizaciones distinguidas en Calidad de Turismo,Eventual,1º semestre de 2017,Turismo,Turismo
Llegadas de Turistas No residentes a la Argentina por todas las vías de ingresos,Listado por nacionalidad de Turistas no residentes que llegan a la Argentina.,Trimestral,1º semestre de 2017,Turismo,Turismo
Turistas residentes que viajan por Argentina,Listado de Turistas residentes que viajan por Argentina.,Trimestral,1º semestre de 2017,Turismo,Turismo
